MONTH,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45
1,,884.0,8730.0,25037.0,23765.0,16922.0,7458.0,2493.0,
2,,1339.0,8863.0,23779.0,15860.0,18095.0,3342.0,1798.0,549.0
3,2452.0,5662.0,18160.0,27780.0,17822.0,5119.0,910.0,,
4,4945.0,24156.0,33658.0,13558.0,1525.0,,,,
5,56594.0,25049.0,3511.0,,,,,,
6,81631.0,877.0,,,,,,,
7,86818.0,,,,,,,,
8,82421.0,,,,,,,,
9,72558.0,7928.0,,,,,,,
10,29794.0,30430.0,19858.0,961.0,,,,,
11,1278.0,17898.0,30193.0,21316.0,5157.0,713.0,,,
12,,2445.0,17329.0,38839.0,17850.0,6781.0,1807.0,464.0,
