MONTH,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,40 to 45
1,82282.0,2755.0,252.0,,,,,
2,70996.0,2038.0,591.0,,,,,
3,74789.0,2690.0,426.0,,,,,
4,67761.0,8149.0,1932.0,,,,,
5,78881.0,4630.0,369.0,679.0,,595.0,,
6,74027.0,3661.0,1211.0,2912.0,330.0,,367.0,
7,79123.0,3586.0,1003.0,827.0,578.0,385.0,1012.0,304.0
8,71554.0,7178.0,1873.0,817.0,,668.0,331.0,
9,72098.0,5767.0,1218.0,1076.0,,327.0,,
10,73789.0,4937.0,1909.0,408.0,,,,
11,72283.0,3130.0,333.0,809.0,,,,
12,82562.0,2361.0,,592.0,,,,
